title,release_year,runtime_minutes,imdb_rating,Meta_score,No_of_Votes,Genre
Ferris Bueller's Day Off,1986,103,7.8,61,321382,Comedy
Down by Law,1986,107,7.8,75,47834,"Comedy, Crime, Drama"
Evil Dead II,1987,84,7.8,72,148359,"Action, Comedy, Fantasy"
Predator,1987,107,7.8,45,371387,"Action, Adventure, Sci-Fi"
Mississippi Burning,1988,128,7.8,65,88214,"Crime, Drama, History"
Dip huet seung hung,1989,111,7.8,82,45624,"Action, Crime, Drama"
Back to the Future Part II,1989,108,7.8,57,481918,"Adventure, Comedy, Sci-Fi"
Glory,1989,122,7.8,78,122779,"Biography, Drama, History"
Majo no takkyûbin,1989,103,7.8,83,124193,"Animation, Adventure, Drama"
Misery,1990,107,7.8,75,184740,"Drama, Thriller"
Awakenings,1990,121,7.8,74,125276,"Biography, Drama"
La double vie de Véronique,1991,98,7.8,86,42376,"Drama, Fantasy, Music"
Boyz n the Hood,1991,112,7.8,76,126082,"Crime, Drama"
Night on Earth,1991,129,7.8,68,55362,"Comedy, Drama"
Lat sau san taam,1992,128,7.8,,46700,"Action, Crime, Thriller"
What's Eating Gilbert Grape,1993,118,7.8,73,215034,Drama
Naked,1993,132,7.8,84,34635,"Comedy, Drama"
The Fugitive,1993,130,7.8,87,267684,"Action, Crime, Drama"
A Bronx Tale,1993,121,7.8,80,128171,"Crime, Drama, Romance"
The Remains of the Day,1993,134,7.8,84,66065,"Drama, Romance"
Batman: Mask of the Phantasm,1993,76,7.8,,43690,"Animation, Action, Crime"
The Sandlot,1993,101,7.8,55,78963,"Comedy, Drama, Family"
Tombstone,1993,130,7.8,50,126871,"Action, Biography, Drama"
Ed Wood,1994,127,7.8,70,164937,"Biography, Comedy, Drama"
Breaking the Waves,1996,159,7.8,76,62428,Drama
Titanic,1997,194,7.8,75,1046089,"Drama, Romance"
Hana-bi,1997,103,7.8,,27712,"Crime, Drama, Romance"
Gattaca,1997,106,7.8,64,280845,"Drama, Sci-Fi, Thriller"
The Game,1997,129,7.8,61,345096,"Action, Drama, Mystery"
Todo sobre mi madre,1999,101,7.8,87,89058,Drama
The Boondock Saints,1999,108,7.8,44,227143,"Action, Crime, Thriller"
October Sky,1999,108,7.8,71,82855,"Biography, Drama, Family"
The Insider,1999,157,7.8,84,159886,"Biography, Drama, Thriller"
Cast Away,2000,143,7.8,73,524235,"Adventure, Drama, Romance"
Gongdong gyeongbi guyeok JSA,2000,110,7.8,58,26518,"Action, Drama, Thriller"
Remember the Titans,2000,113,7.8,48,198089,"Biography, Drama, Sport"
Wo hu cang long,2000,120,7.8,94,253228,"Action, Adventure, Fantasy"
Shrek,2001,90,7.8,84,613941,"Animation, Adventure, Comedy"
Waking Life,2001,99,7.8,83,60684,"Animation, Drama, Fantasy"
Lilja 4-ever,2002,109,7.8,82,42673,"Crime, Drama"
The Count of Monte Cristo,2002,131,7.8,61,129022,"Action, Adventure, Drama"
Ondskan,2003,113,7.8,61,35682,Drama
Tôkyô goddofâzâzu,2003,90,7.8,73,31658,"Animation, Adventure, Comedy"
Les triplettes de Belleville,2003,80,7.8,91,50622,"Animation, Comedy, Drama"
The Notebook,2004,123,7.8,53,520284,"Drama, Romance"
Veer-Zaara,2004,192,7.8,67,49050,"Drama, Family, Musical"
Diarios de motocicleta,2004,126,7.8,75,96703,"Adventure, Biography, Drama"
Serenity,2005,119,7.8,74,283310,"Action, Adventure, Sci-Fi"
Walk the Line,2005,136,7.8,72,234207,"Biography, Drama, Music"
Adams æbler,2005,94,7.8,51,45717,"Comedy, Crime, Drama"
The World's Fastest Indian,2005,127,7.8,68,51980,"Biography, Drama, Sport"
Pride & Prejudice,2005,129,7.8,82,258924,"Drama, Romance"
Apocalypto,2006,139,7.8,68,291018,"Action, Adventure, Drama"
Little Miss Sunshine,2006,101,7.8,80,439856,"Comedy, Drama"
Hot Fuzz,2007,121,7.8,81,463466,"Action, Comedy, Mystery"
Atonement,2007,123,7.8,85,251370,"Drama, Mystery, Romance"
American Gangster,2007,157,7.8,76,392449,"Biography, Crime, Drama"
Auf der anderen Seite,2007,122,7.8,85,30827,Drama
Once,2007,86,7.8,88,110656,"Drama, Music, Romance"
The Boy in the Striped Pyjamas,2008,94,7.8,55,190748,"Drama, History, War"
Chugyeokja,2008,125,7.8,64,58468,"Action, Crime, Thriller"
Taken,2008,90,7.8,51,564791,"Action, Thriller"
The Curious Case of Benjamin Button,2008,166,7.8,70,589160,"Drama, Fantasy, Romance"
Avatar,2009,162,7.8,83,1118998,"Action, Adventure, Fantasy"
Madeo,2009,129,7.8,79,52758,"Crime, Drama, Mystery"
Män som hatar kvinnor,2009,152,7.8,76,208994,"Crime, Drama, Mystery"
Mr. Nobody,2009,141,7.8,63,216421,"Drama, Fantasy, Romance"
Das weiße Band - Eine deutsche Kindergeschichte,2009,144,7.8,82,68715,"Drama, History, Mystery"
Kokuhaku,2010,106,7.8,,35713,"Drama, Thriller"
The Fighter,2010,116,7.8,79,340584,"Biography, Drama, Sport"
Ang-ma-reul bo-at-da,2010,144,7.8,67,111252,"Action, Crime, Drama"
Ajeossi,2010,119,7.8,,62848,"Action, Crime, Drama"
