movie_id,title,release_year,budget,revenue,profit,roi,tmdb_rating,imdb_rating,runtime_minutes,imdb_genre,tmdb_genres,certificate,industry_rating,popularity,original_language
106,Predator,1987,18000000,98235548,80235548,4.4575304444444441,7.3,7.8,107,"Action, Adventure, Sci-Fi","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",R,7.8,50.009408,en
5723,Once,2007,160000,20710513,20550513,128.44070625,7.3,7.8,86,"Drama, Music, Romance","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",R,7.8,19.052179,en
1579,Apocalypto,2006,40000000,120175290,80175290,2.00438225,7.3,7.8,139,"Action, Adventure, Drama","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",R,7.8,41.570047,en
9549,The Right Stuff,1983,27000000,21500000,-5500000,-0.20370370370370369,7.3,7.8,193,"Adventure, Biography, Drama","[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",PG,7.8,17.567332,en
191714,The Lunchbox,2013,1000000,4235151,3235151,3.235151,7.3,7.8,104,"Drama, Romance","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",PG,7.8,14.017809,hi
522,Ed Wood,1994,18000000,5887457,-12112543,-0.67291905555555553,7.3,7.8,127,"Biography, Comedy, Drama","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",R,7.8,24.548633,en
17654,District 9,2009,30000000,210819611,180819611,6.0273203666666664,7.3,7.9,112,"Action, Sci-Fi, Thriller","[{""id"": 878, ""name"": ""Science Fiction""}]",R,7.9,63.13678,en
863,Toy Story 2,1999,90000000,497366869,407366869,4.5262985444444448,7.3,7.9,92,"Animation, Adventure, Comedy","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",G,7.9,73.575118,en
74643,The Artist,2011,15000000,133432856,118432856,7.8955237333333335,7.3,7.9,100,"Comedy, Drama, Romance","[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",PG-13,7.9,29.943316,en
808,Shrek,2001,60000000,484409218,424409218,7.0734869666666667,7.3,7.8,90,"Animation, Adventure, Comedy","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",PG,7.9,67.298732,en
2501,The Bourne Identity,2002,60000000,214034224,154034224,2.5672370666666668,7.3,7.9,119,"Action, Mystery, Thriller","[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",PG-13,7.9,86.476817,en
12163,The Wrestler,2008,6000000,44703995,38703995,6.4506658333333338,7.3,7.9,109,"Drama, Sport","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",R,7.9,40.196514,en
2009,"4 Months, 3 Weeks and 2 Days",2007,852510,1185783,333273,0.3909314846746666,7.3,,,,"[{""id"": 18, ""name"": ""Drama""}]",Not Rated,7.9,9.270133,ro
36557,Casino Royale,2006,150000000,599045960,449045960,2.9936397333333336,7.3,8.0,144,"Action, Adventure, Thriller","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",PG-13,8.0,88.935165,en
2503,The Bourne Ultimatum,2007,70000000,442824138,372824138,5.3260591142857141,7.3,8.0,115,"Action, Mystery, Thriller","[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",PG-13,8.0,45.381501,en
44214,Black Swan,2010,13000000,327803731,314803731,24.215671615384615,7.3,8.0,108,"Drama, Thriller","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",R,8.0,91.285683,en
218,The Terminator,1984,6400000,78371200,71971200,11.2455,7.3,8.0,107,"Action, Sci-Fi","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",R,8.0,74.234793,en
281957,The Revenant,2015,135000000,532950503,397950503,2.9477815037037036,7.3,8.0,156,"Action, Adventure, Drama","[{""id"": 37, ""name"": ""Western""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",R,8.0,100.635882,en
1372,Blood Diamond,2006,100000000,170877916,70877916,0.70877916,7.3,8.0,143,"Adventure, Drama, Thriller","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]",R,8.0,52.792678,en
921,Cinderella Man,2005,88000000,108539911,20539911,0.23340807954545453,7.3,8.0,144,"Biography, Drama, History","[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",PG-13,8.0,24.100863,en
252,Willy Wonka & the Chocolate Factory,1971,3000000,4000000,1000000,0.33333333333333331,7.4,7.8,100,"Family, Fantasy, Musical","[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",,,23.981601,en
27029,The Nun's Story,1959,3500000,12800000,9300000,2.657142857142857,7.4,,,,"[{""id"": 18, ""name"": ""Drama""}]",,,3.281509,en
642,Butch Cassidy and the Sundance Kid,1969,6000000,102308889,96308889,16.0514815,7.4,8.0,110,"Biography, Crime, Drama","[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}, {""id"": 80, ""name"": ""Crime""}]",,,24.499996,en
1779,Roger & Me,1989,160000,6706368,6546368,40.9148,7.4,,,,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 36, ""name"": ""History""}]",,,3.284903,en
338,"Good bye, Lenin!",2003,4800000,79384880,74584880,15.538516666666666,7.4,,,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,,11.086001,de
